year,region_name,state_name,municipio_cod,latitude,longitude,yield_kg_ha,production_1000t,area_planted_1000ha
2000,Abaíra - BA,BA,2900108,-13.2488,-41.6619,1500.0,0.375,0.25
2000,Alcobaça - BA,BA,2900801,-17.5195,-39.2036,1500.0,0.675,0.45
2000,Amargosa - BA,BA,2901007,-13.0215,-39.602,800.0,0.24,0.6
2000,América Dourada - BA,BA,2901155,-11.4429,-41.439,3000.0,0.003,0.001
2000,Andaraí - BA,BA,2901304,-12.8049,-41.3297,1800.0,0.081,0.045
2000,Antônio Gonçalves - BA,BA,2901809,-10.5767,-40.2785,941.0,0.016,0.017
2000,Arataca - BA,BA,2902252,-15.2651,-39.419,504.0,0.353,0.7
2000,Barra da Estiva - BA,BA,2902807,-13.6237,-41.3347,720.0,7.056,9.8
2000,Barra do Choça - BA,BA,2902906,-14.8654,-40.5791,900.0,13.887,18.43
2000,Barra do Mendes - BA,BA,2903003,-11.81,-42.059,450.0,0.225,0.5
2000,Barreiras - BA,BA,2903201,-12.1439,-44.9968,3600.0,11.866,7.614
2000,Belmonte - BA,BA,2903409,-15.8608,-38.8758,600.0,0.036,0.06
2000,Boa Nova - BA,BA,2903706,-14.3598,-40.2064,1200.0,0.048,0.04
2000,Bom Jesus da Lapa - BA,BA,2903904,-13.2506,-43.4108,2000.0,0.076,0.038
2000,Boninal - BA,BA,2904001,-12.7069,-41.8286,300.0,0.009,0.03
2000,Bonito - BA,BA,2904050,-11.9668,-41.2647,1366.0,10.25,7.5
2000,Brejões - BA,BA,2904308,-13.1039,-39.7988,1000.0,6.0,6.0
2000,Caatiba - BA,BA,2904803,-14.9699,-40.4092,900.0,0.288,0.32
2000,Caculé - BA,BA,2905008,-14.5003,-42.2229,700.0,0.021,0.03
2000,Caetité - BA,BA,2905206,-14.0684,-42.4861,699.0,0.338,0.483
2000,Camacan - BA,BA,2905602,-15.4142,-39.4919,500.0,0.055,0.11
2000,Camamu - BA,BA,2905800,-13.9398,-39.1071,1800.0,0.09,0.05
2000,Campo Formoso - BA,BA,2906006,-10.5105,-40.32,942.0,0.065,0.069
2000,Caravelas - BA,BA,2906907,-17.7268,-39.2597,1500.0,0.3,0.2
2000,Coaraci - BA,BA,2908002,-14.637,-39.5556,320.0,0.008,0.025
2000,Cocos - BA,BA,2908101,-14.1814,-44.5352,2502.0,0.538,0.702
2000,Conceição do Almeida - BA,BA,2908309,-12.7836,-39.1715,714.0,0.005,0.007
2000,Contendas do Sincorá - BA,BA,2908804,-13.7537,-41.048,800.0,0.2,0.25
2000,Cravolândia - BA,BA,2909505,-13.3531,-39.8031,800.0,0.1,0.125
2000,Dário Meira - BA,BA,2910008,-14.4229,-39.9031,666.0,0.02,0.03
2000,Elísio Medrado - BA,BA,2910305,-12.9417,-39.5191,800.0,0.012,0.015
2000,Encruzilhada - BA,BA,2910404,-15.5302,-40.9124,1200.0,3.6,3.5
2000,Eunápolis - BA,BA,2910727,-16.3715,-39.5821,600.0,0.456,0.76
2000,Firmino Alves - BA,BA,2910909,-14.9823,-39.9269,709.0,0.706,0.995
2000,Floresta Azul - BA,BA,2911006,-14.8629,-39.6579,500.0,0.1,0.2
2000,Gandu - BA,BA,2911204,-13.7441,-39.4747,727.0,0.008,0.011
2000,Guanambi - BA,BA,2911709,-14.2231,-42.7799,600.0,0.006,0.01
2000,Guaratinga - BA,BA,2911808,-16.5833,-39.7847,600.0,0.408,0.88
2000,Ibiassucê - BA,BA,2912004,-14.2711,-42.257,600.0,0.012,0.02
2000,Ibicoara - BA,BA,2912202,-13.4059,-41.284,720.0,5.04,7.0
2000,Ibicuí - BA,BA,2912301,-14.845,-39.9879,600.0,0.015,0.025
2000,Ibirapitanga - BA,BA,2912707,-14.1649,-39.3787,500.0,0.015,0.03
2000,Ibirapuã - BA,BA,2912806,-17.6832,-40.1129,733.0,0.033,0.045
2000,Ibirataia - BA,BA,2912905,-14.0643,-39.6459,600.0,0.009,0.015
2000,Ibitiara - BA,BA,2913002,-12.6502,-42.2179,250.0,0.002,0.008
2000,Igaporã - BA,BA,2913408,-13.774,-42.7155,700.0,0.007,0.01
2000,Igrapiúna - BA,BA,2913457,-13.8295,-39.1361,1700.0,0.102,0.06
2000,Iguaí - BA,BA,2913507,-14.7528,-40.0894,600.0,0.06,0.1
2000,Ilhéus - BA,BA,2913606,-14.793,-39.046,295.0,0.029,0.1
2000,Irajuba - BA,BA,2914208,-13.2563,-40.0848,600.0,0.18,0.3
2000,Iraquara - BA,BA,2914406,-12.2429,-41.6155,300.0,0.18,0.6
2000,Itabela - BA,BA,2914653,-16.5732,-39.5593,598.0,0.898,1.5
2000,Itaeté - BA,BA,2915007,-12.9831,-40.9677,1824.0,0.104,0.057
2000,Itagi - BA,BA,2915106,-14.1615,-40.0131,1000.0,0.03,0.03
2000,Itagimirim - BA,BA,2915304,-16.0819,-39.6133,625.0,0.005,0.008
2000,Itamaraju - BA,BA,2915601,-17.0378,-39.5386,1800.0,5.688,3.16
2000,Itambé - BA,BA,2915809,-15.2429,-40.63,1200.0,0.24,0.2
2000,Itanhém - BA,BA,2916005,-17.1642,-40.3321,780.0,0.625,0.801
2000,Itapebi - BA,BA,2916302,-15.9551,-39.5329,600.0,0.009,0.015
2000,Itaquara - BA,BA,2916708,-13.4459,-39.9378,1000.0,0.31,0.31
2000,Itiruçu - BA,BA,2916906,-13.529,-40.1472,1000.0,1.3,1.3
